use,1,1,0,1,0,0,0,0,0
BTN3A3,butyrophilin subfamily 3 member a3 ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
C11orf96,chromosome 11 open reading frame 96 ,NA,NA,NA,NA,NA,NA,gene,NA
C8orf88,granulito ,translation initiation factor,NA,NA,NA,NA,NA,gene,NA
CASP4,caspase-4 ,protease,NA,NA,NA,NA,NA,gene,NA
CAVIN2,caveolae-associated protein 2 ,membrane traffic protein,NA,NA,NA,NA,NA,gene,NA
CCDC74B,coiled-coil domain-containing protein 74a-related ,NA,NA,NA,NA,NA,NA,gene,NA
CCL22,c-c motif chemokine 22 ,cytokine,NA,NA,NA,NA,NA,gene,NA
CD101,immunoglobulin superfamily member 2 ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
CD247,t-cell surface glycoprotein cd3 zeta chain ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
CD83,cd83 antigen ,NA,NA,NA,NA,NA,NA,gene,NA
CDH23,cadherin-23 ,cadherin,NA,NA,NA,NA,NA,gene,NA
CEBPE,ccaat/enhancer-binding protein epsilon ,basic leucine zipper transcription factor,NA,NA,NA,NA,NA,gene,NA
CEP68,NA,NA,NA,NA,NA,NA,NA,gene,NA
CGAS,cyclic gmp-amp synthase ,nucleotidyltransferase,NA,NA,NA,NA,NA,gene,NA
CHRD,chordin ,NA,NA,NA,NA,NA,NA,gene,NA
CHST10,carbohydrate sulfotransferase 10 ,transferase,NA,NA,NA,NA,NA,gene,NA
CILP,cartilage intermediate layer protein 1 ,NA,NA,NA,NA,NA,NA,gene,NA
CLEC2B,c-type lectin domain family 2 member b ,defense/immunity protein,NA,NA,NA,NA,NA,gene,NA
CLIP3,cap-gly domain-containing linker protein 3 ,chaperone,NA,NA,NA,NA,NA,gene,NA
CMTM5,cklf-like marvel transmembrane domain-containing protein 5 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
CNTN1,contactin-1 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
CNTNAP1,contactin-associated protein 1 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
COL21A1,collagen alpha-1,extracellular matrix structural protein,NA,NA,NA,NA,NA,gene,NA
COL6A2,collagen alpha-2,extracellular matrix structural protein,NA,NA,NA,NA,NA,gene,NA
CPEB1,cytoplasmic polyadenylation element-binding protein 1 ,mrna polyadenylation factor,NA,NA,NA,NA,NA,gene,NA
CRHBP,corticotropin-releasing factor-binding protein ,NA,NA,NA,NA,NA,NA,gene,NA
CSF3R,granulocyte colony-stimulating factor receptor ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
CTSC,dipeptidyl peptidase 1 ,cysteine protease,NA,NA,NA,NA,NA,gene,NA
DAAM2,disheveled-associated activator of morphogenesis 2 ,NA,NA,NA,NA,NA,NA,gene,NA
DENND2A,denn domain-containing protein 2a ,guanyl-nucleotide exchange factor,NA,NA,NA,NA,NA,gene,NA
DHH,desert hedgehog protein ,NA,NA,NA,NA,NA,NA,gene,NA
DLG4,disks large homolog 4 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
DNAJC18,dnaj homolog subfamily c member 18 ,NA,NA,NA,NA,NA,NA,gene,NA
DNM3OS,NA,NA,NA,NA,NA,NA,NA,gene,NA
DOCK11,dedicator of cytokinesis protein 11 ,guanyl-nucleotide exchange factor,NA,NA,NA,NA,NA,gene,NA
DOK6,docking protein 6 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
DSTYK,dual serine/threonine and tyrosine protein kinase ,non-receptor serine/threonine protein kinase,NA,NA,NA,NA,NA,gene,NA
DTHD1,NA,NA,NA,NA,NA,NA,NA,gene,NA
DZIP1,zinc finger protein dzip1 ,non-motor microtubule binding protein,NA,NA,NA,NA,NA,gene,NA
ECRG4,augurin ,NA,NA,NA,NA,NA,NA,gene,NA
EMILIN1,emilin-1 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
ENOX1,ecto-nox disulfide-thiol exchanger 1 ,oxidoreductase,NA,NA,NA,NA,NA,gene,NA
ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1 ,nucleotide phosphatase,NA,NA,NA,NA,NA,gene,NA
FAM180A,protein fam180a ,NA,NA,NA,NA,NA,NA,gene,NA
FBLN1,fibulin-1 ,NA,NA,NA,NA,NA,NA,gene,NA
FBLN2,fibulin-2 ,extracellular matrix structural protein,NA,NA,NA,NA,NA,gene,NA
FBXL7,f-box/lrr-repeat protein 7 ,NA,NA,NA,NA,NA,NA,gene,NA
FCGR1B,high affinity immunoglobulin gamma fc receptor i-related ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
FCGR2B,low affinity immunoglobulin gamma fc region receptor ii-b-related ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
FCMR,fas apoptotic inhibitory molecule 3 ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
FGD2,"fyve, rhogef and ph domain-containing protein 2 ",guanyl-nucleotide exchange factor,NA,NA,NA,NA,NA,gene,NA
FKBP7,peptidyl-prolyl cis-trans isomerase fkbp7 ,chaperone,NA,NA,NA,NA,NA,gene,NA
FZD8,frizzled-8 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
GBP1P1,NA,NA,NA,NA,NA,NA,NA,gene,NA
GGTA1,NA,NA,NA,NA,NA,NA,NA,gene,NA
GLI1,zinc finger protein gli1 ,dna-binding transcription factor,NA,NA,NA,NA,NA,gene,NA
GLIS1,zinc finger protein glis1 ,dna-binding transcription factor,NA,NA,NA,NA,NA,gene,NA
GLT8D2,glycosyltransferase 8 domain-containing protein 2 ,glycosyltransferase,NA,NA,NA,NA,NA,gene,NA
GNAZ,guanine nucleotide-binding protein g,heterotrimeric g-protein,NA,NA,NA,NA,NA,gene,NA
GPR135,g-protein coupled receptor 135 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
GPR17,uracil nucleotide/cysteinyl leukotriene receptor ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
GPSM3,g-protein-signaling modulator 3 ,NA,NA,NA,NA,NA,NA,gene,NA
GYPC,glycophorin-c ,NA,NA,NA,NA,NA,NA,gene,NA
GZMK,granzyme k ,serine protease,NA,NA,NA,NA,NA,gene,NA
HCK,tyrosine-protein kinase hck ,non-receptor tyrosine protein kinase,NA,NA,NA,NA,NA,gene,NA
HLA-B,"hla class i histocompatibility antigen, b alpha chain ",major histocompatibility complex protein,NA,NA,NA,NA,NA,gene,NA
HLA-DRB5,"hla class ii histocompatibility antigen, dr beta 5 chain ",major histocompatibility complex protein,NA,NA,NA,NA,NA,gene,NA
HSD11B1L,hydroxysteroid 11-beta-dehydrogenase 1-like protein ,dehydrogenase,NA,NA,NA,NA,NA,gene,NA
ICAM1,intercellular adhesion molecule 1 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
IFI16,gamma-interferon-inducible protein 16 ,dna-binding transcription factor,NA,NA,NA,NA,NA,gene,NA
IFITM1,interferon-induced transmembrane protein 1 ,defense/immunity protein,NA,NA,NA,NA,NA,gene,NA
IGFBP4,insulin-like growth factor-binding protein 4 ,protease inhibitor,NA,NA,NA,NA,NA,gene,NA
IGHV1-2,immunoglobulin heavy variable 1-2 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGHV2-26,immunoglobulin heavy variable 2-26 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGHV3-13,immunoglobulin heavy variable 3-13 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGHV3-20,immunoglobulin heavy variable 3-20 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGHV4-4,immunoglobulin heavy variable 4-4 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGHV6-1,immunoglobulin heavy variable 4-30-2-related ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGLV7-46,immunoglobulin lambda variable 7-46 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGLV8-61,immunoglobulin lambda variable 8-61 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IL10RA,interleukin-10 receptor subunit alpha ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
IL16,pro-interleukin-16 ,interleukin superfamily,NA,NA,NA,NA,NA,gene,NA
IL7R,interleukin-7 receptor subunit alpha ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
ILDR2,immunoglobulin-like domain-containing receptor 2 ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
ISG20,interferon-stimulated gene 20 kda protein ,exoribonuclease,NA,NA,NA,NA,NA,gene,NA
ISLR,immunoglobulin superfamily containing leucine-rich repeat protein ,immunoglobulin superfamily cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
ITGA10,integrin alpha-10 ,integrin,NA,NA,NA,NA,NA,gene,NA
KCNB1,potassium voltage-gated channel subfamily b member 1 ,voltage-gated ion channel,NA,NA,NA,NA,NA,gene,NA
KCNK3,potassium channel subfamily k member 3 ,ion channel,NA,NA,NA,NA,NA,gene,NA
KCNN3,small conductance calcium-activated potassium channel protein 3 ,voltage-gated ion channel,NA,NA,NA,NA,NA,gene,NA
KIAA1755,pleckstrin homology domain-containing family g member 4b-related ,guanyl-nucleotide exchange factor,NA,NA,NA,NA,NA,gene,NA
KIR2DL1,kir2dl protein-related ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
KIR2DS4,killer cell immunoglobulin-like receptor 2dl2-related ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
KLHDC7B-DT,NA,NA,NA,NA,NA,NA,NA,gene,NA
KLHL41,kelch-like protein 41 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
LDLRAD2,low-density lipoprotein receptor class a domain-containing protein 2 ,NA,NA,NA,NA,NA,NA,gene,NA
LGI4,leucine-rich repeat lgi family member 4 ,NA,NA,NA,NA,NA,NA,gene,NA
LINC01480,NA,NA,NA,NA,NA,NA,NA,gene,NA
LINC02611,NA,NA,NA,NA,NA,NA,NA,gene,NA
LIX1L,lix1-like protein ,NA,NA,NA,NA,NA,NA,gene,NA
LRRC17,leucine-rich repeat-containing protein 17 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
LRRC70,leucine-rich repeat-containing protein 70 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
LRRK2,leucine-rich repeat serine/threonine-protein kinase 2 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
LUM,lumican ,NA,NA,NA,NA,NA,NA,gene,NA
MAGEL2,mage-like protein 2 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
MAP1A,microtubule-associated protein 1a ,non-motor microtubule binding protein,NA,NA,NA,NA,NA,gene,NA
MAP6,microtubule-associated protein 6 ,NA,NA,NA,NA,NA,NA,gene,NA
MATK,megakaryocyte-associated tyrosine-protein kinase ,non-receptor tyrosine protein kinase,NA,NA,NA,NA,NA,gene,NA
MATN2,matrilin-2 ,extracellular matrix structural protein,NA,NA,NA,NA,NA,gene,NA
MEF2C-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
MEG3,NA,NA,NA,NA,NA,NA,NA,gene,NA
MEIS3,homeobox protein meis3 ,homeodomain transcription factor,NA,NA,NA,NA,NA,gene,NA
METTL24,methyltransferase-like protein 24 ,methyltransferase,NA,NA,NA,NA,NA,gene,NA
MFGE8,lactadherin ,oxidoreductase,NA,NA,NA,NA,NA,gene,NA
MPDZ,multiple pdz domain protein ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
MPL,thrombopoietin receptor ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
MPP2,maguk p55 subfamily member 2 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
MRGPRF-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
MTURN,maturin ,NA,NA,NA,NA,NA,NA,gene,NA
MYH11,myosin-11 ,actin or actin-binding cytoskeletal protein,NA,NA,NA,NA,NA,gene,NA
MYL9,myosin regulatory light polypeptide 9 ,actin or actin-binding cytoskeletal protein,NA,NA,NA,NA,NA,gene,NA
NANOS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
NCF2,neutrophil cytosol factor 2 ,protein-binding activity modulator,NA,NA,NA,NA,NA,gene,NA
NCS1,neuronal calcium sensor 1 ,calmodulin-related,NA,NA,NA,NA,NA,gene,NA
NDN,necdin ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
NECAP2,adaptin ear-binding coat-associated protein 2 ,atp-binding cassette ,NA,NA,NA,NA,NA,gene,NA
NFATC4,"nuclear factor of activated t-cells, cytoplasmic 4 ",rel homology transcription factor,NA,NA,NA,NA,NA,gene,NA
NKD1,protein naked cuticle homolog 1 ,NA,NA,NA,NA,NA,NA,gene,NA
NLGN2,neuroligin-2 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
NR2F2-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
NRXN2,neurexin-2 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
NUDT10,diphosphoinositol polyphosphate phosphohydrolase 3-alpha ,phosphatase,NA,NA,NA,NA,NA,gene,NA
OASL,2'-5'-oligoadenylate synthase-like protein ,nucleotidyltransferase,NA,NA,NA,NA,NA,gene,NA
ODF3B,outer dense fiber protein 3b ,structural protein,NA,NA,NA,NA,NA,gene,NA
OLFM1,noelin ,structural protein,NA,NA,NA,NA,NA,gene,NA
P2RY6,p2y purinoceptor 6 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
PDE3A,phosphodiesterase ,phosphodiesterase,NA,NA,NA,NA,NA,gene,NA
PDGFD,platelet-derived growth factor d ,growth factor,NA,NA,NA,NA,NA,gene,NA
PDGFRA,platelet-derived growth factor receptor alpha ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
PHLDB1,pleckstrin homology-like domain family b member 1 ,NA,NA,NA,NA,NA,NA,gene,NA
PKIG,camp-dependent protein kinase inhibitor gamma ,kinase inhibitor,NA,NA,NA,NA,NA,gene,NA
PKMP3,NA,NA,NA,NA,NA,NA,NA,gene,NA
PKNOX2,homeobox protein pknox2 ,homeodomain transcription factor,NA,NA,NA,NA,NA,gene,NA
PLCB2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2 ",phospholipase,NA,NA,NA,NA,NA,gene,NA
PLPP1,phospholipid phosphatase 1 ,phosphatase,NA,NA,NA,NA,NA,gene,NA
PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1 ,NA,NA,NA,NA,NA,NA,gene,NA
PMP2,myelin p2 protein ,transfer/carrier protein,NA,NA,NA,NA,NA,gene,NA
POU2AF1,pou domain class 2-associating factor 1 ,NA,NA,NA,NA,NA,NA,gene,NA
PPP1R14A,protein phosphatase 1 regulatory subunit 14a ,phosphatase modulator,NA,NA,NA,NA,NA,gene,NA
PRAM1,pml-rara-regulated adapter molecule 1 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
PRDM1,pr domain zinc finger protein 1 ,c2h2 zinc finger transcription factor,NA,NA,NA,NA,NA,gene,NA
PRELP,prolargin ,NA,NA,NA,NA,NA,NA,gene,NA
PRRT1,proline-rich transmembrane protein 1 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
PSMA1,proteasome subunit alpha type-1 ,protease,NA,NA,NA,NA,NA,gene,NA
PTCH2,protein patched homolog 2 ,NA,NA,NA,NA,NA,NA,gene,NA
PTCRA,pre t-cell antigen receptor alpha ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
PYGO1,pygopus homolog 1 ,NA,NA,NA,NA,NA,NA,gene,NA
RASAL3,ras protein activator like-3 ,gtpase-activating protein,NA,NA,NA,NA,NA,gene,NA
RASSF2,ras association domain-containing protein 2 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
RBM24,rna-binding protein 24 ,NA,NA,NA,NA,NA,NA,gene,NA
RELT,tumor necrosis factor receptor superfamily member 19l ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
RGS1,regulator of g-protein signaling 1 ,gtpase-activating protein,NA,NA,NA,NA,NA,gene,NA
RGS7BP,regulator of g-protein signaling 7-binding protein ,NA,NA,NA,NA,NA,NA,gene,NA
RHOG,rho-related gtp-binding protein rhog ,small gtpase,NA,NA,NA,NA,NA,gene,NA
RUNX3,runt-related transcription factor 3 ,runt transcription factor,NA,NA,NA,NA,NA,gene,NA
RUSC2,iporin ,NA,NA,NA,NA,NA,NA,gene,NA
SCRG1,scrapie-responsive protein 1 ,NA,NA,NA,NA,NA,NA,gene,NA
SEMA4C,semaphorin-4c ,membrane-bound signaling molecule,NA,NA,NA,NA,NA,gene,NA
SEPTIN4,septin-4 ,cytoskeletal protein,NA,NA,NA,NA,NA,gene,NA
SERPINF1,pigment epithelium-derived factor ,protease inhibitor,NA,NA,NA,NA,NA,gene,NA
SH3RF3-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
SLC22A17,solute carrier family 22 member 17 ,secondary carrier transporter,NA,NA,NA,NA,NA,gene,NA
SLC45A1,proton-associated sugar transporter a ,secondary carrier transporter,NA,NA,NA,NA,NA,gene,NA
SMC2-DT,NA,NA,NA,NA,NA,NA,NA,gene,NA
SMOC2,sparc-related modular calcium-binding protein 2 ,calmodulin-related,NA,NA,NA,NA,NA,gene,NA
SOD3,extracellular superoxide dismutase [cu-zn] ,oxidoreductase,NA,NA,NA,NA,NA,gene,NA
SPEG,striated muscle preferentially expressed protein kinase ,NA,NA,NA,NA,NA,NA,gene,NA
SQOR,"sulfide:quinone oxidoreductase, mitochondrial ",oxidoreductase,NA,NA,NA,NA,NA,gene,NA
SSPN,sarcospan ,NA,NA,NA,NA,NA,NA,gene,NA
STK17B,serine/threonine-protein kinase 17b ,non-receptor serine/threonine protein kinase,NA,NA,NA,NA,NA,gene,NA
STX11,syntaxin-11 ,snare protein,NA,NA,NA,NA,NA,gene,NA
SV2A,synaptic vesicle glycoprotein 2a ,NA,NA,NA,NA,NA,NA,gene,NA
SYDE1,rho gtpase-activating protein syde1 ,gtpase-activating protein,NA,NA,NA,NA,NA,gene,NA
SYNGAP1,ras/rap gtpase-activating protein syngap ,gtpase-activating protein,NA,NA,NA,NA,NA,gene,NA
SYT11,synaptotagmin-11 ,membrane trafficking regulatory protein,NA,NA,NA,NA,NA,gene,NA
TAGAP,t-cell activation rho gtpase-activating protein ,gtpase-activating protein,NA,NA,NA,NA,NA,gene,NA
TARID,NA,NA,NA,NA,NA,NA,NA,gene,NA
TBXA2R,thromboxane a2 receptor ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
TCF21,transcription factor 21 ,basic helix-loop-helix transcription factor,NA,NA,NA,NA,NA,gene,NA
TCF4,transcription factor 4 ,basic helix-loop-helix transcription factor,NA,NA,NA,NA,NA,gene,NA
THEMIS,protein themis ,NA,NA,NA,NA,NA,NA,gene,NA
TIMP2,metalloproteinase inhibitor 2 ,protease inhibitor,NA,NA,NA,NA,NA,gene,NA
TLR6,toll-like receptor 6 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
TLR7,toll-like receptor 7 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
TMEM240,transmembrane protein 240 ,NA,NA,NA,NA,NA,NA,gene,NA
TMEM88,transmembrane protein 88 ,NA,NA,NA,NA,NA,NA,gene,NA
TNF,tumor necrosis factor ,intercellular signal molecule,NA,NA,NA,NA,NA,gene,NA
TNFRSF18,tumor necrosis factor receptor superfamily member 18 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
TPM2,tropomyosin beta chain ,actin binding motor protein,NA,NA,NA,NA,NA,gene,NA
TRAV21,t cell receptor alpha variable 21 ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
TRAV3,t cell receptor alpha variable 3 ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
TRAV8-3,t cell receptor alpha variable 8-3 ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
TRIL,tlr4 interactor with leucine rich repeats ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
TRIM14,tripartite motif-containing protein 14 ,ubiquitin-protein ligase,NA,NA,NA,NA,NA,gene,NA
TWIST2,twist-related protein 2 ,basic helix-loop-helix transcription factor,NA,NA,NA,NA,NA,gene,NA
TYROBP,tyro protein tyrosine kinase-binding protein ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
WASF3,wiskott-aldrich syndrome protein family member 3 ,non-motor actin binding protein,NA,NA,NA,NA,NA,gene,NA
ZCCHC18,zinc finger cchc domain-containing protein 18 ,transcription cofactor,NA,NA,NA,NA,NA,gene,NA
ZMYND15,zinc finger mynd domain-containing protein 15 ,NA,NA,NA,NA,NA,NA,gene,NA
ZNF25,zinc finger protein 25 ,c2h2 zinc finger transcription factor,NA,NA,NA,NA,NA,gene,NA
ZNF454,zinc finger protein 454 ,c2h2 zinc finger transcription factor,NA,NA,NA,NA,NA,gene,NA
ZNF667,zinc finger protein 667 ,c2h2 zinc finger transcription factor,NA,NA,NA,NA,NA,gene,NA
ZNF781,zinc finger protein 781 ,c2h2 zinc finger transcription factor,NA,NA,NA,NA,NA,gene,NA
ADAMTS5,a disintegrin and metalloproteinase with thrombospondin motifs 5 ,metalloprotease,NA,NA,NA,NA,NA,gene,NA
ADCY5,adenylate cyclase type 5 ,adenylate cyclase,NA,NA,NA,NA,NA,gene,NA
ADGRL1,adhesion g protein-coupled receptor l1 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
ASXL3,polycomb group protein asxl3-related ,NA,NA,NA,NA,NA,NA,gene,NA
BHMT2,s-methylmethionine--homocysteine s-methyltransferase bhmt2 ,methyltransferase,NA,NA,NA,NA,NA,gene,NA
C3orf70,upf0524 protein c3orf70 ,NA,NA,NA,NA,NA,NA,gene,NA
CALHM5,calcium homeostasis modulator protein 5 ,voltage-gated ion channel,NA,NA,NA,NA,NA,gene,NA
CARD17,NA,NA,NA,NA,NA,NA,NA,gene,NA
CCDC178,coiled-coil domain-containing protein 178 ,NA,NA,NA,NA,NA,NA,gene,NA
CCDC80,coiled-coil domain-containing protein 80 ,NA,NA,NA,NA,NA,NA,gene,NA
CCL16,c-c motif chemokine 16 ,cytokine,NA,NA,NA,NA,NA,gene,NA
CD1B,t-cell surface glycoprotein cd1b ,major histocompatibility complex protein,NA,NA,NA,NA,NA,gene,NA
CD248,endosialin ,NA,NA,NA,NA,NA,NA,gene,NA
CDH6,cadherin-6 ,cadherin,NA,NA,NA,NA,NA,gene,NA
CLU,clustered mitochondria protein homolog ,translation initiation factor,NA,NA,NA,NA,NA,gene,NA
COL15A1,collagen alpha-1,extracellular matrix structural protein,NA,NA,NA,NA,NA,gene,NA
COL1A2,collagen alpha-2,extracellular matrix structural protein,NA,NA,NA,NA,NA,gene,NA
CPXM2,inactive carboxypeptidase-like protein x2 ,protease,NA,NA,NA,NA,NA,gene,NA
CTTNBP2,cortactin-binding protein 2 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
DACT1,dapper homolog 1 ,NA,NA,NA,NA,NA,NA,gene,NA
DCHS2,protocadherin-23 ,cadherin,NA,NA,NA,NA,NA,gene,NA
DIO3,thyroxine 5-deiodinase ,NA,NA,NA,NA,NA,NA,gene,NA
DIO3OS,NA,NA,NA,NA,NA,NA,NA,gene,NA
DNM3,dynamin-3 ,membrane traffic protein,NA,NA,NA,NA,NA,gene,NA
DOK5,docking protein 5 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
DPYSL3,dihydropyrimidinase-related protein 3 ,hydrolase,NA,NA,NA,NA,NA,gene,NA
DRAM1,dna damage-regulated autophagy modulator protein 1 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
EBF3,microtubule-associated protein rp/eb family member 3 ,non-motor microtubule binding protein,NA,NA,NA,NA,NA,gene,NA
EPHA3,ephrin type-a receptor 3 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
FAIM2,protein lifeguard 2 ,ion channel,NA,NA,NA,NA,NA,gene,NA
FAT3,protocadherin fat 3 ,cadherin,NA,NA,NA,NA,NA,gene,NA
FAXDC2,fatty acid hydroxylase domain-containing protein 2-related ,oxidase,NA,NA,NA,NA,NA,gene,NA
FBXO17,f-box only protein 17 ,ubiquitin-protein ligase,NA,NA,NA,NA,NA,gene,NA
FCRL2,fc receptor-like protein 2 ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
FGFR1,fibroblast growth factor receptor 1 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
FLNC,filamin-c ,NA,NA,NA,NA,NA,NA,gene,NA
GGT5,glutathione hydrolase 5 proenzyme ,protease,NA,NA,NA,NA,NA,gene,NA
GNA14,guanine nucleotide-binding protein subunit alpha-14 ,heterotrimeric g-protein,NA,NA,NA,NA,NA,gene,NA
GRIK3,"glutamate receptor ionotropic, kainate 3 ",transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
ID4,dna-binding protein inhibitor id-4 ,dna-binding transcription factor,NA,NA,NA,NA,NA,gene,NA
IGFBP5,insulin-like growth factor-binding protein 5 ,protease inhibitor,NA,NA,NA,NA,NA,gene,NA
IGHD,immunoglobulin heavy constant delta ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGHJ2,NA,NA,NA,NA,NA,NA,NA,gene,NA
IGHV1-3,immunoglobulin heavy variable 1-3 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGHV1-69,immunoglobulin heavy variable 1-69-related ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGHV1OR15-2,NA,NA,NA,NA,NA,NA,NA,gene,NA
IGHV3-35,immunoglobulin heavy variable 3-23-related ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGHV3-52,NA,NA,NA,NA,NA,NA,NA,gene,NA
IGHV3-64,immunoglobulin heavy variable 3-23-related ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGHV3-71,NA,NA,NA,NA,NA,NA,NA,gene,NA
IGHV3-72,immunoglobulin heavy variable 3-72 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGHV3-74,immunoglobulin heavy variable 3-74 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGHV3OR16-17,ig-like domain-containing protein ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGHV3OR16-8,ig-like domain-containing protein ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGKV1-12,immunoglobulin kappa variable 1-12-related ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGKV1-27,immunoglobulin kappa variable 1-27 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGKV1D-16,immunoglobulin kappa variable 1d-16 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGKV1D-39,immunoglobulin kappa variable 1-39-related ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGKV1D-8,immunoglobulin kappa variable 1-8-related ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGKV3OR2-268,immunoglobulin kappa variable 3-15-related ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGKV6-21,immunoglobulin kappa variable 6-21-related ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGLV1-36,immunoglobulin lambda variable 1-36 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
